word,n_morph
ангидридовый,5
ангидрит,4
ангидритовый,5
ангина,2
ангинный,3
ангинозный,3
ангиограмма,4
ангиография,5
ангиология,5
ангиома,3
ангионевроз,5
ангиоспазм,4
англизированный,6
англизировать,5
англизироваться,6
английский,3
англиканец,4
англиканский,4
англицизм,3
англичанин,3
англичанка,4
англо-американский,6
англо-бурский,5
англо-египетский,5
англо-русский,5
англо-советский,5
англо-советско-иранский,8
англоман,4
англомания,5
англоманка,5
англоманский,5
англосакский,5
англосаксонский,6
англосаксонцы,6
англосаксы,4
англофил,4
англофильский,5
англофоб,4
англофобский,5
ангорский,3
ангстрем,2
андалузит,3
анданте,2
андантино,2
андезин,3
андезит,3
андиец,3
андийка,3
андийский,3
андо-дидойский,5
андо-цезский,5
андроген,4
андрогенез,5
андрогиния,5
андрофобия,5
аневризм,4
аневризма,4
аневрин,4
анекдот,2
анекдотец,3
анекдотический,3
анекдотичный,3
анекдотчик,3
анемический,3
анемичный,3
анемия,2
анемограф,4
анемоклинограф,6
анемометр,4
анемометрия,5
анемон,3
анемона,3
анемоскоп,4
анемофилия,5
анемохория,5
анероид,3
анестезин,3
анестезиолог,4
анестезиологический,5
анестезиология,5
анестезированный,5
анестезировать,4
анестезироваться,5
анестезирующий,5
анестезия,3
анестетик,3
анестетический,3
анилин,2
анилиновый,3
анилинокрасочный,6
анилокраситель,6
анимализация,4
анимализм,3
анималист,3
анималистический,4
анимальный,2
анимизм,3
анимист,3
анимистический,4
анис,2
анисовка,4
анисовый,3
анкер,2
анкерит,3
анкерный,3
анкерок,3
анкета,2
анкетирование,5
анкетировать,4
анкетный,3
анклав,2
анналист,3
анналы,2
аннексионизм,3
аннексионист,4
аннексионистский,5
аннексионный,3
аннексирование,5
аннексированный,5
аннексировать,4
аннексироваться,5
аннексия,2
аннигилировать,5
аннигиляция,4
аннона,2
анноновые,3
аннотация,3
аннотирование,5
аннотированный,5
аннотировать,4
аннотироваться,5
аннулирование,5
аннулированный,5
аннулировать,4
аннулироваться,5
аннуляция,3
анод,2
анодирование,5
анодно-импульсный,6
анодно-механический,7
анодно-химический,6
анодный,3
аномалия,2
аномальный,3
аноним,3
анонимка,4
анонимный,4
анонимщик,4
анонс,2
анонсированный,5
анонсировать,4
анонсироваться,5
анормальный,4
ансамблевый,3
ансамбль,2
антагонизм,3
антагонист,3
антагонистический,4
антагонистичный,4
антагонистка,4
антарктический,4
антенна,2
антенно-фидерный,6
антеннщик,3
антенный,3
антиалкогольный,4
